Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Library Usage,Sleep hours,Classroom engagement level,Peer interaction level,"Device used for studing_Laptops, Mobile","Device used for studing_Laptops, Mobile, Text books","Device used for studing_Laptops, Text books",Device used for studing_Mobile,"Device used for studing_Mobile, Text books",Device used for studing_Text books
0,2.3,88.6,71.47,71.99,70.23,73.3,73.16,70.63,78.33,75.1,73.03,2,1,1,,>8 hrs,2,0,False,False,False,False,False,True
1,5.0,80.2,58.14,53.88,55.62,56.93,59.11,53.77,57.67,55.37,56.31,5,1,1,,4-6 hrs,1,1,False,False,True,False,False,False
0,0.5,95.3,52.0,52.55,56.13,50.98,51.77,51.69,56.46,57.21,53.6,4,1,0,,6-8 hrs,0,1,False,False,False,False,True,False
1,5.6,76.6,74.59,73.37,71.0,66.81,66.51,59.44,61.85,62.53,67.01,6,1,0,,4-6 hrs,2,1,False,False,False,False,True,False
0,3.4,77.1,71.89,74.42,77.79,78.33,79.37,85.99,84.49,87.86,80.02,0,1,1,,6-8 hrs,2,1,False,False,False,False,True,False
1,8.3,94.2,51.11,53.84,50.9,47.97,44.45,43.55,44.46,38.77,46.88,3,1,1,,4-6 hrs,0,1,False,False,False,False,True,False
0,3.0,78.4,71.87,74.63,73.97,70.66,71.51,75.5,73.84,72.09,73.01,5,1,1,,6-8 hrs,1,1,False,False,False,True,False,False
0,1.1,94.8,58.49,56.51,56.67,49.63,50.92,48.97,46.42,43.89,51.44,6,1,1,,4-6 hrs,0,2,False,False,False,False,False,False
1,3.6,89.1,70.06,69.99,73.27,75.1,76.94,83.8,80.91,82.17,76.53,3,1,0,,6-8 hrs,0,1,False,False,False,False,False,True
2,0.5,80.8,71.41,71.65,75.99,78.51,81.13,84.37,86.23,89.25,79.82,2,1,1,,4-6 hrs,1,0,False,False,False,False,False,True
0,6.0,67.5,65.92,64.01,64.86,63.16,67.94,66.58,67.68,67.85,66.0,4,0,0,,6-8 hrs,1,1,False,False,False,True,False,False
0,0.5,81.8,53.75,52.23,49.69,48.02,48.78,44.31,41.27,40.61,47.33,6,1,1,,4-6 hrs,1,1,True,False,False,False,False,False
0,4.6,82.8,78.89,81.53,83.04,86.83,85.89,84.84,92.17,95.2,86.05,2,1,1,,4-6 hrs,2,1,False,False,False,False,True,False
0,0.5,91.3,54.16,55.26,50.85,50.35,52.2,54.57,51.48,57.44,53.29,4,1,1,,6-8 hrs,1,0,False,False,False,True,False,False
0,3.9,94.7,72.18,72.88,71.44,65.79,64.49,65.41,60.18,57.73,66.26,5,1,1,,4-6 hrs,2,1,False,False,False,True,False,False
1,7.8,76.5,70.1,71.32,67.38,73.97,71.98,75.53,78.93,79.4,73.58,4,1,0,,6-8 hrs,1,1,False,False,False,False,False,True
1,5.2,88.4,65.02,70.96,67.49,67.67,68.67,66.35,67.91,67.76,67.73,5,1,1,,4-6 hrs,1,0,False,False,False,False,False,True
1,2.8,88.1,75.38,73.42,76.3,75.96,71.64,73.64,69.15,73.39,73.61,3,1,1,,6-8 hrs,1,1,False,False,False,False,False,False
1,4.4,90.6,61.5,60.67,66.27,67.48,68.61,69.91,72.24,75.97,67.83,3,1,1,,4-6 hrs,1,0,False,False,False,True,False,False
1,4.5,86.0,68.87,72.21,69.36,77.15,78.17,83.06,80.38,84.9,76.76,3,1,0,,4-6 hrs,1,2,False,False,False,False,False,False
1,5.4,66.5,78.24,75.68,79.19,76.86,75.72,76.17,79.35,81.42,77.83,5,1,1,,4-6 hrs,1,1,False,False,False,False,False,True
0,1.8,80.8,78.36,79.83,78.7,81.54,79.16,84.36,79.43,79.81,80.15,1,1,1,,6-8 hrs,2,1,False,False,False,False,True,False
1,5.7,72.8,72.79,73.24,78.02,77.45,72.72,72.11,72.39,76.43,74.39,2,1,1,,6-8 hrs,0,1,False,False,False,False,False,True
1,0.5,80.4,59.14,65.5,60.32,63.96,62.71,59.17,60.25,59.34,61.3,4,1,1,,>8 hrs,1,0,False,False,False,False,False,True
0,3.2,89.8,62.82,58.55,59.67,54.89,54.28,53.63,50.84,49.76,55.56,6,1,1,,4-6 hrs,0,1,False,False,False,False,False,False
1,3.5,84.4,55.96,60.9,54.58,56.76,57.69,59.19,56.1,54.84,57.0,4,1,1,,6-8 hrs,1,1,False,False,False,True,False,False
0,5.8,91.2,72.42,74.64,71.64,72.99,76.76,74.44,70.55,70.72,73.02,3,1,1,,6-8 hrs,2,0,False,False,False,False,True,False
1,4.5,84.7,80.48,82.98,82.49,80.22,81.4,89.93,89.65,94.43,85.2,0,1,0,,6-8 hrs,1,1,False,False,False,False,False,False
2,1.7,71.6,62.71,59.99,59.35,60.89,60.28,54.11,53.86,49.95,57.64,4,1,0,,<2 hrs,1,1,False,False,False,False,False,False
0,2.5,61.8,80.62,76.61,80.63,76.5,81.31,76.93,81.65,85.44,79.96,6,1,1,,4-6 hrs,1,1,True,False,False,False,False,False
1,4.9,83.2,59.03,65.2,59.64,57.42,59.46,59.5,59.94,57.53,59.72,6,1,0,,2-4 hrs,1,1,False,False,False,True,False,False
1,4.3,80.3,66.12,61.73,61.19,63.75,63.04,64.87,65.42,65.11,63.9,2,1,1,,>8 hrs,2,1,False,False,False,False,False,False
0,3.3,74.2,83.73,76.83,77.39,70.58,66.1,66.08,60.39,69.12,71.28,1,1,1,,2-4 hrs,1,1,True,False,False,False,False,False
0,3.5,68.4,64.26,60.54,55.18,55.48,50.9,50.17,49.52,47.87,54.24,2,1,1,,4-6 hrs,2,1,False,True,False,False,False,False
0,5.9,76.1,72.93,77.08,71.85,70.93,73.56,71.38,73.72,71.06,72.81,6,1,0,,6-8 hrs,0,1,False,False,False,True,False,False
0,3.5,80.4,68.56,70.52,68.5,68.44,69.44,71.45,71.81,72.08,70.1,1,1,1,,6-8 hrs,2,0,False,False,False,False,False,True
1,4.3,87.3,57.47,58.03,54.09,56.78,54.66,54.38,58.0,54.49,55.99,0,1,0,,6-8 hrs,0,2,False,False,False,True,False,False
1,8.8,83.5,70.29,69.67,70.26,72.36,69.37,74.39,74.27,72.99,71.7,0,0,0,,6-8 hrs,2,2,False,False,False,True,False,False
1,1.7,94.9,55.24,58.66,56.1,64.44,64.18,67.85,68.88,69.11,63.06,4,1,1,,6-8 hrs,2,1,False,False,False,True,False,False
0,0.8,73.7,62.34,56.65,55.31,59.39,54.47,51.28,48.24,47.95,54.45,3,1,0,,6-8 hrs,2,1,False,False,False,False,True,False
0,6.1,89.0,55.86,59.42,62.12,64.34,65.26,62.76,67.68,74.97,64.05,4,1,1,,2-4 hrs,2,2,False,False,False,True,False,False
1,3.1,82.4,75.38,73.92,74.07,76.34,74.8,73.59,72.21,76.52,74.6,3,1,0,,>8 hrs,1,1,False,False,False,False,False,True
1,3.9,87.6,69.68,69.98,69.66,68.91,70.11,63.87,68.93,66.62,68.47,2,1,1,,6-8 hrs,2,0,False,False,True,False,False,False
1,2.9,78.5,69.95,71.39,72.01,71.22,70.84,73.1,71.54,68.95,71.12,1,1,1,,4-6 hrs,0,1,False,False,False,False,False,False
1,4.0,90.6,51.86,52.12,44.93,46.28,48.85,44.13,41.59,43.22,46.62,7,1,0,,2-4 hrs,0,1,True,False,False,False,False,False
0,7.7,84.4,66.79,62.34,60.08,60.16,61.58,67.6,63.91,67.92,63.8,4,1,1,,4-6 hrs,1,1,False,False,False,False,True,False
0,6.1,76.6,71.41,68.15,66.29,65.04,63.49,60.7,59.03,53.96,63.51,0,1,1,,>8 hrs,1,1,False,False,False,False,False,False
0,6.2,81.9,76.07,77.42,75.43,77.0,75.19,77.39,76.27,74.98,76.22,0,1,1,,4-6 hrs,0,1,True,False,False,False,False,False
1,1.7,80.1,57.5,63.72,66.67,66.32,69.79,70.38,72.18,74.82,67.67,0,0,1,,4-6 hrs,2,2,False,False,True,False,False,False
1,2.2,85.9,71.8,69.77,70.38,63.97,64.34,60.1,62.69,58.48,65.19,3,1,0,,6-8 hrs,1,2,False,False,True,False,False,False
0,0.5,72.6,70.65,77.95,79.28,80.6,84.34,84.54,86.53,90.75,81.83,2,1,1,,6-8 hrs,2,2,False,False,False,False,True,False
0,2.9,81.8,58.38,59.87,61.57,63.42,61.75,64.99,64.48,65.05,62.44,3,1,1,,6-8 hrs,1,0,False,False,True,False,False,False
0,6.4,85.2,79.44,79.12,84.38,85.69,89.6,89.13,87.4,89.63,85.55,0,1,0,,2-4 hrs,0,2,True,False,False,False,False,False
0,5.5,82.3,58.49,61.94,61.57,62.04,65.18,66.87,68.96,70.73,64.47,6,1,1,,2-4 hrs,2,0,False,False,False,True,False,False
0,4.1,92.8,56.59,54.63,56.04,58.59,57.39,58.37,56.12,56.79,56.82,5,1,0,,6-8 hrs,0,0,False,False,True,False,False,False
0,4.5,88.2,83.48,79.9,80.79,80.28,79.21,78.22,74.16,74.91,78.87,1,1,1,,>8 hrs,2,0,False,True,False,False,False,False
1,3.1,81.9,52.99,57.67,59.93,59.19,62.22,62.75,65.39,69.02,61.14,2,1,1,,4-6 hrs,2,1,False,False,False,False,True,False
1,4.9,83.7,80.15,72.18,74.56,69.7,66.83,69.28,64.81,62.74,70.03,1,1,0,,6-8 hrs,1,1,False,False,False,False,True,False
1,6.0,84.4,52.08,47.0,55.07,46.49,46.87,40.32,42.79,42.51,46.64,5,1,1,,4-6 hrs,2,2,False,False,True,False,False,False
1,1.3,85.2,49.03,54.71,59.06,59.38,60.75,63.39,67.98,66.92,60.15,4,1,0,,2-4 hrs,2,1,False,False,False,True,False,False
0,5.1,67.4,70.08,73.58,78.27,70.73,73.23,77.29,75.61,72.38,73.9,3,1,1,,2-4 hrs,1,2,False,False,False,True,False,False
1,6.4,79.6,65.29,65.29,67.04,65.71,70.08,64.77,66.43,68.27,66.61,2,0,1,,4-6 hrs,2,2,False,False,True,False,False,False
0,3.7,70.1,77.01,76.12,75.85,77.69,78.38,76.87,77.7,77.05,77.08,0,1,0,,6-8 hrs,0,1,False,True,False,False,False,False
0,5.9,92.2,52.93,56.99,56.69,57.71,57.52,63.44,63.39,67.48,59.52,5,1,0,,4-6 hrs,2,2,False,False,True,False,False,False
1,10.0,81.5,76.54,71.76,68.51,69.16,64.22,65.5,60.04,59.79,66.94,5,1,1,,4-6 hrs,1,1,False,False,False,False,False,True
1,4.3,80.5,51.03,49.74,55.25,49.42,60.28,58.45,60.75,67.4,56.54,8,0,1,,>8 hrs,1,2,False,False,False,False,False,True
0,5.3,89.2,79.14,78.26,76.86,76.92,75.83,74.62,78.91,79.06,77.45,3,1,1,,6-8 hrs,1,2,False,False,True,False,False,False
1,3.0,85.4,76.6,74.38,74.94,72.01,74.34,73.19,71.43,70.81,73.46,1,1,1,,6-8 hrs,1,1,False,False,False,False,True,False
1,4.9,73.0,72.11,72.36,69.09,70.07,68.49,70.05,71.84,70.74,70.59,4,1,1,,4-6 hrs,2,1,False,True,False,False,False,False
1,5.4,81.4,58.28,61.63,58.46,60.99,61.91,60.57,57.9,57.99,59.72,4,1,1,,>8 hrs,1,1,False,False,False,True,False,False
1,4.9,79.3,63.13,67.51,64.03,70.46,70.11,69.35,71.76,76.05,69.05,1,1,1,,4-6 hrs,0,1,False,False,False,False,True,False
0,2.5,68.0,52.78,50.76,50.34,49.17,48.01,47.44,44.5,43.47,48.31,5,1,1,,6-8 hrs,0,1,False,False,False,False,False,False
0,4.9,76.5,74.77,77.45,75.42,75.32,73.77,73.1,74.76,72.52,74.64,3,1,1,,2-4 hrs,1,1,False,False,False,True,False,False
0,7.4,80.5,53.91,56.72,56.91,55.45,54.88,57.99,56.79,53.52,55.77,7,1,1,,6-8 hrs,1,1,False,False,False,False,False,True
0,5.4,81.1,56.66,61.57,63.81,66.12,68.33,70.53,67.43,74.29,66.09,4,1,0,,>8 hrs,1,0,False,False,True,False,False,False
0,6.4,70.1,61.28,60.7,61.71,65.97,67.37,66.05,67.97,70.79,65.23,2,1,1,,2-4 hrs,1,2,False,False,False,False,False,True
1,4.0,91.2,58.76,53.58,58.25,54.03,57.39,54.22,58.55,61.93,57.09,1,1,1,,4-6 hrs,1,0,False,False,False,True,False,False
0,6.0,81.2,51.49,49.22,48.66,46.78,46.64,40.8,45.62,35.72,45.62,3,1,0,,4-6 hrs,1,1,False,False,False,True,False,False
0,5.1,82.3,54.86,54.93,53.55,53.19,54.57,54.2,53.15,50.55,53.62,3,1,0,,4-6 hrs,1,1,True,False,False,False,False,False
0,2.6,85.2,56.32,50.97,55.7,55.2,58.07,55.87,56.49,54.99,55.45,8,1,1,,4-6 hrs,1,1,False,False,False,False,False,False
0,5.1,75.7,80.74,81.4,78.05,74.23,74.26,76.5,74.54,74.69,76.8,2,1,0,,4-6 hrs,2,0,False,False,False,False,False,True
1,2.5,85.7,78.51,77.11,76.1,75.19,70.69,65.27,69.21,61.65,71.72,2,0,1,,6-8 hrs,0,2,False,False,False,True,False,False
1,3.2,79.1,53.08,55.74,51.49,64.95,63.86,63.23,64.51,67.77,60.58,6,0,1,,2-4 hrs,2,2,False,False,False,False,True,False
1,4.9,74.8,63.3,58.9,61.39,50.11,52.38,50.93,48.02,45.24,53.78,6,0,1,,6-8 hrs,1,0,False,True,False,False,False,False
1,5.1,86.6,69.13,69.89,68.07,71.48,68.08,64.96,68.09,66.94,68.33,3,0,0,,6-8 hrs,1,0,False,False,True,False,False,False
0,2.1,93.9,75.22,71.77,73.25,72.19,67.66,68.89,62.64,58.93,68.82,6,1,0,,6-8 hrs,2,0,False,True,False,False,False,False
0,6.6,87.8,63.72,67.08,67.28,68.42,72.42,73.33,78.86,79.96,71.38,1,1,1,,>8 hrs,1,0,True,False,False,False,False,False
1,5.6,89.4,72.67,75.94,76.38,76.71,81.22,83.15,83.38,83.0,79.06,3,1,1,,6-8 hrs,0,1,False,False,False,True,False,False
0,3.1,77.8,69.29,66.48,69.0,69.3,68.15,70.76,65.65,66.44,68.13,1,1,1,,6-8 hrs,1,0,False,False,False,False,True,False
1,1.4,69.2,79.27,79.58,77.9,83.36,82.63,83.79,88.86,91.2,83.32,2,1,0,,2-4 hrs,2,1,False,False,False,True,False,False
1,4.2,93.9,78.23,80.76,82.97,84.3,86.51,88.11,92.63,93.3,85.85,4,1,0,,4-6 hrs,1,1,False,False,False,True,False,False
1,3.6,98.4,70.67,69.63,68.72,68.41,65.07,60.54,60.94,57.75,65.22,5,1,1,,>8 hrs,1,1,False,False,False,False,False,False
1,4.7,94.3,75.61,73.92,76.15,71.12,71.65,71.96,75.05,75.8,73.91,4,1,1,,4-6 hrs,1,1,True,False,False,False,False,False
0,3.8,79.3,61.09,61.95,64.0,66.11,66.53,72.57,74.12,76.25,67.83,9,1,1,,6-8 hrs,1,2,False,False,False,False,True,False
1,0.5,72.8,66.87,66.89,64.04,58.22,57.66,56.11,54.25,53.88,59.74,4,1,1,,6-8 hrs,2,0,False,False,False,False,False,False
0,3.7,73.5,75.77,76.07,66.75,70.54,69.95,65.82,63.29,62.65,68.85,2,1,0,,4-6 hrs,0,0,False,False,False,False,True,False
0,3.9,68.5,69.66,69.74,65.8,65.38,68.31,71.89,71.71,69.44,68.99,4,1,0,,6-8 hrs,1,1,False,False,False,True,False,False
1,5.8,81.1,71.93,74.42,77.46,75.59,82.97,79.54,85.36,85.98,79.16,1,1,1,,4-6 hrs,1,1,False,True,False,False,False,False
2,3.1,94.8,57.68,63.22,62.06,60.29,60.01,56.7,58.27,60.4,59.83,2,1,1,,<2 hrs,1,2,False,True,False,False,False,False
2,7.9,80.9,77.64,74.94,70.66,67.8,69.54,71.13,66.22,66.19,70.52,2,1,1,,4-6 hrs,2,0,True,False,False,False,False,False
1,0.7,84.4,66.04,66.34,66.44,63.79,67.13,67.59,63.11,60.82,65.16,7,1,1,,6-8 hrs,1,1,True,False,False,False,False,False
0,7.1,93.0,56.6,55.41,57.85,56.64,58.75,55.87,55.79,53.16,56.26,6,1,0,,4-6 hrs,1,0,False,True,False,False,False,False
1,4.1,78.8,53.68,53.43,54.59,57.54,58.7,60.37,61.01,66.38,58.21,5,1,0,,4-6 hrs,1,1,False,False,False,False,False,True
1,6.2,98.3,76.24,74.66,78.83,77.4,77.66,79.58,75.98,78.9,77.41,0,1,0,,6-8 hrs,2,1,False,False,False,False,True,False
1,4.7,97.9,60.35,68.14,67.39,69.32,67.66,73.77,77.36,79.35,70.42,1,1,0,,6-8 hrs,1,0,False,False,False,False,False,False
0,6.8,81.0,76.81,77.97,77.76,84.78,86.03,83.8,88.65,92.28,83.51,4,1,0,,4-6 hrs,1,2,False,False,False,False,False,True
0,3.7,77.4,58.93,60.31,57.47,60.03,60.43,58.04,58.78,57.45,58.93,4,1,1,,4-6 hrs,0,1,False,False,False,True,False,False
1,2.3,87.6,62.78,64.38,58.61,58.79,57.35,51.97,54.37,50.05,57.29,9,1,0,,6-8 hrs,0,1,False,False,True,False,False,False
1,7.3,79.2,72.46,70.69,68.36,68.69,64.64,64.19,59.79,59.05,65.98,4,1,1,,6-8 hrs,1,1,False,False,False,True,False,False
0,4.3,72.7,70.27,69.97,73.45,73.92,75.21,78.52,74.82,76.32,74.06,2,1,1,,4-6 hrs,0,2,False,False,False,False,True,False
1,4.9,92.2,49.85,48.91,48.07,49.87,44.44,45.55,40.68,37.46,45.6,5,1,0,,4-6 hrs,1,1,False,False,False,True,False,False
1,7.0,91.7,75.2,78.64,78.24,79.15,77.73,76.54,74.92,74.53,76.87,2,1,1,,4-6 hrs,2,0,False,False,False,False,False,True
0,2.4,83.2,70.51,70.68,68.71,68.29,62.92,60.68,57.58,58.08,64.68,1,1,1,,4-6 hrs,1,2,False,False,False,False,True,False
2,5.7,71.9,70.01,68.87,73.41,75.52,72.54,78.59,79.16,83.17,75.16,4,1,0,,6-8 hrs,0,2,False,False,False,True,False,False
1,3.3,72.2,59.8,58.69,64.86,67.34,64.93,68.32,70.73,74.46,66.14,4,1,1,,6-8 hrs,1,1,True,False,False,False,False,False
0,4.2,82.9,59.64,60.95,57.69,54.17,52.73,50.64,50.36,50.16,54.54,4,1,0,,>8 hrs,1,1,False,False,False,True,False,False
0,4.6,78.0,65.04,62.73,58.31,59.03,56.18,50.73,50.36,52.09,56.81,4,1,0,,6-8 hrs,2,0,False,False,False,False,False,True
1,1.5,79.3,65.0,67.82,62.97,59.99,60.83,52.76,53.22,56.6,59.9,6,1,1,,4-6 hrs,1,1,False,False,True,False,False,False
0,2.9,90.2,55.09,54.16,53.53,56.21,57.95,58.36,54.8,54.42,55.56,9,1,1,,4-6 hrs,2,2,False,False,False,True,False,False
1,7.2,87.9,45.47,52.71,55.36,51.43,51.23,52.86,56.25,51.08,52.05,8,1,1,,2-4 hrs,0,0,True,False,False,False,False,False
0,6.3,93.0,68.46,67.3,63.05,57.96,60.77,57.0,55.01,53.87,60.43,4,1,0,,>8 hrs,2,0,False,False,False,True,False,False
0,4.4,74.1,62.59,60.39,63.83,60.33,60.49,62.88,62.1,63.88,62.06,2,1,0,,6-8 hrs,1,1,False,False,True,False,False,False
0,5.0,79.3,68.84,63.56,59.29,61.92,53.4,52.53,48.39,54.59,57.82,1,1,1,,4-6 hrs,2,1,False,False,False,False,False,False
1,3.9,88.1,78.01,77.98,77.34,77.7,79.95,81.07,77.39,78.66,78.51,3,1,0,,6-8 hrs,1,1,False,False,False,False,False,True
0,7.2,85.6,59.46,62.7,63.82,69.73,69.51,74.84,73.96,70.32,68.04,2,1,1,,4-6 hrs,1,1,False,True,False,False,False,False
1,4.1,94.3,58.2,62.2,60.85,67.3,67.81,69.05,68.35,77.36,66.39,4,1,0,,6-8 hrs,2,0,False,False,False,False,False,False
1,5.0,85.4,52.66,55.9,56.23,56.12,58.73,62.16,66.64,67.02,59.43,5,1,1,,6-8 hrs,2,0,False,False,False,False,True,False
1,6.8,96.8,74.34,73.42,73.02,72.26,72.48,69.75,70.38,76.02,72.71,4,1,1,,4-6 hrs,1,1,False,False,False,False,False,False
0,2.9,86.3,54.92,61.64,65.06,63.72,61.75,68.7,70.81,74.22,65.1,1,0,0,,6-8 hrs,2,2,False,False,True,False,False,False
0,7.6,90.5,63.55,66.89,64.81,63.47,65.33,63.1,64.27,62.14,64.2,2,1,1,,6-8 hrs,2,1,False,False,False,True,False,False
1,1.4,79.4,68.07,67.83,66.84,67.15,64.25,65.89,67.16,65.59,66.6,3,1,1,,6-8 hrs,1,0,False,False,False,False,True,False
0,7.8,82.1,60.17,62.03,60.54,66.91,70.29,69.41,73.17,73.95,67.06,4,1,1,,6-8 hrs,2,1,False,False,False,True,False,False
1,3.8,89.3,52.48,51.42,54.76,53.85,54.64,53.55,55.93,58.37,54.38,5,1,0,,>8 hrs,1,1,False,False,False,False,False,True
0,4.0,94.9,65.34,64.58,60.74,62.66,61.95,60.27,58.55,60.77,61.86,9,1,1,,4-6 hrs,2,1,False,False,False,False,False,False
