Register Number,Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Device used for studing,Library Usage,Sleep hours,Classroom engagement level,Peer interaction level
REG00047,Male,8.3,94.2,51.11,53.84,50.9,47.97,44.45,43.55,44.46,38.77,46.88,3,yes,yes,"Mobile, Text books",no,4-6 hrs,Low,Medium
REG00048,Female,3,78.4,71.87,74.63,73.97,70.66,71.51,75.5,73.84,72.09,73.01,5,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG00049,Female,1.1,94.8,58.49,56.51,56.67,49.63,50.92,48.97,46.42,43.89,51.44,6,yes,yes,Laptops,yes,4-6 hrs,Low,High
REG00050,Male,3.6,89.1,70.06,69.99,73.27,75.1,76.94,83.8,80.91,82.17,76.53,3,yes,no,Text books,no,6-8 hrs,Low,Medium
REG00051,Other,0.5,80.8,71.41,71.65,75.99,78.51,81.13,84.37,86.23,89.25,79.82,2,yes,yes,Text books,yes,4-6 hrs,Medium,Low
REG00052,Female,6,67.5,65.92,64.01,64.86,63.16,67.94,66.58,67.68,67.85,66,4,no,no,Mobile,yes,6-8 hrs,Medium,Medium
REG00053,Female,0.5,81.8,53.75,52.23,49.69,48.02,48.78,44.31,41.27,40.61,47.33,6,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Medium,Medium
REG00054,Female,4.6,82.8,78.89,81.53,83.04,86.83,85.89,84.84,92.17,95.2,86.05,2,yes,yes,"Mobile, Text books",yes,4-6 hrs,High,Medium
REG00055,Female,0.5,91.3,54.16,55.26,50.85,50.35,52.2,54.57,51.48,57.44,53.29,4,yes,yes,Mobile,no,6-8 hrs,Medium,Low
REG00056,Female,3.9,94.7,72.18,72.88,71.44,65.79,64.49,65.41,60.18,57.73,66.26,5,yes,yes,Mobile,no,4-6 hrs,High,Medium
REG00057,Male,7.8,76.5,70.1,71.32,67.38,73.97,71.98,75.53,78.93,79.4,73.58,4,yes,no,Text books,yes,6-8 hrs,Medium,Medium
REG00058,Male,5.2,88.4,65.02,70.96,67.49,67.67,68.67,66.35,67.91,67.76,67.73,5,yes,yes,Text books,no,4-6 hrs,Medium,Low
REG00059,Male,2.8,88.1,75.38,73.42,76.3,75.96,71.64,73.64,69.15,73.39,73.61,3,yes,yes,Laptops,yes,6-8 hrs,Medium,Medium
REG00060,Male,4.4,90.6,61.5,60.67,66.27,67.48,68.61,69.91,72.24,75.97,67.83,3,yes,yes,Mobile,no,4-6 hrs,Medium,Low
REG00061,Male,4.5,86,68.87,72.21,69.36,77.15,78.17,83.06,80.38,84.9,76.76,3,yes,no,Laptops,yes,4-6 hrs,Medium,High
REG00062,Male,5.4,66.5,78.24,75.68,79.19,76.86,75.72,76.17,79.35,81.42,77.83,5,yes,yes,Text books,yes,4-6 hrs,Medium,Medium
REG00063,Female,1.8,80.8,78.36,79.83,78.7,81.54,79.16,84.36,79.43,79.81,80.15,1,yes,yes,"Mobile, Text books",no,6-8 hrs,High,Medium
REG00064,Male,5.7,72.8,72.79,73.24,78.02,77.45,72.72,72.11,72.39,76.43,74.39,2,yes,yes,Text books,yes,6-8 hrs,Low,Medium
REG00065,Male,0.5,80.4,59.14,65.5,60.32,63.96,62.71,59.17,60.25,59.34,61.3,4,yes,yes,Text books,no,>8 hrs,Medium,Low
REG00066,Female,3.2,89.8,62.82,58.55,59.67,54.89,54.28,53.63,50.84,49.76,55.56,6,yes,yes,Laptops,yes,4-6 hrs,Low,Medium
REG00067,Male,3.5,84.4,55.96,60.9,54.58,56.76,57.69,59.19,56.1,54.84,57,4,yes,yes,Mobile,yes,6-8 hrs,Medium,Medium
REG00068,Female,5.8,91.2,72.42,74.64,71.64,72.99,76.76,74.44,70.55,70.72,73.02,3,yes,yes,"Mobile, Text books",yes,6-8 hrs,High,Low
REG00069,Male,4.5,84.7,80.48,82.98,82.49,80.22,81.4,89.93,89.65,94.43,85.2,0,yes,no,Laptops,no,6-8 hrs,Medium,Medium
REG00070,Other,1.7,71.6,62.71,59.99,59.35,60.89,60.28,54.11,53.86,49.95,57.64,4,yes,no,Laptops,no,<2 hrs,Medium,Medium
REG00071,Female,2.5,61.8,80.62,76.61,80.63,76.5,81.31,76.93,81.65,85.44,79.96,6,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Medium,Medium
REG00072,Male,4.9,83.2,59.03,65.2,59.64,57.42,59.46,59.5,59.94,57.53,59.72,6,yes,no,Mobile,no,2-4 hrs,Medium,Medium
REG00073,Male,4.3,80.3,66.12,61.73,61.19,63.75,63.04,64.87,65.42,65.11,63.9,2,yes,yes,Laptops,no,>8 hrs,High,Medium
REG00074,Female,3.3,74.2,83.73,76.83,77.39,70.58,66.1,66.08,60.39,69.12,71.28,1,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Medium,Medium
REG00075,Female,3.5,68.4,64.26,60.54,55.18,55.48,50.9,50.17,49.52,47.87,54.24,2,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,High,Medium
REG00076,Female,5.9,76.1,72.93,77.08,71.85,70.93,73.56,71.38,73.72,71.06,72.81,6,yes,no,Mobile,yes,6-8 hrs,Low,Medium
REG00077,Female,3.5,80.4,68.56,70.52,68.5,68.44,69.44,71.45,71.81,72.08,70.1,1,yes,yes,Text books,no,6-8 hrs,High,Low
REG00078,Male,4.3,87.3,57.47,58.03,54.09,56.78,54.66,54.38,58,54.49,55.99,0,yes,no,Mobile,yes,6-8 hrs,Low,High
REG00079,Male,8.8,83.5,70.29,69.67,70.26,72.36,69.37,74.39,74.27,72.99,71.7,0,no,no,Mobile,yes,6-8 hrs,High,High
REG00080,Male,1.7,94.9,55.24,58.66,56.1,64.44,64.18,67.85,68.88,69.11,63.06,4,yes,yes,Mobile,no,6-8 hrs,High,Medium
REG00081,Female,0.8,73.7,62.34,56.65,55.31,59.39,54.47,51.28,48.24,47.95,54.45,3,yes,no,"Mobile, Text books",no,6-8 hrs,High,Medium
REG00082,Female,6.1,89,55.86,59.42,62.12,64.34,65.26,62.76,67.68,74.97,64.05,4,yes,yes,Mobile,no,2-4 hrs,High,High
REG00083,Male,3.1,82.4,75.38,73.92,74.07,76.34,74.8,73.59,72.21,76.52,74.6,3,yes,no,Text books,no,>8 hrs,Medium,Medium
REG00084,Male,3.9,87.6,69.68,69.98,69.66,68.91,70.11,63.87,68.93,66.62,68.47,2,yes,yes,"Laptops, Text books",no,6-8 hrs,High,Low
REG00085,Male,2.9,78.5,69.95,71.39,72.01,71.22,70.84,73.1,71.54,68.95,71.12,1,yes,yes,Laptops,yes,4-6 hrs,Low,Medium
REG00086,Male,4,90.6,51.86,52.12,44.93,46.28,48.85,44.13,41.59,43.22,46.62,7,yes,no,"Laptops, Mobile",yes,2-4 hrs,Low,Medium
REG00087,Female,7.7,84.4,66.79,62.34,60.08,60.16,61.58,67.6,63.91,67.92,63.8,4,yes,yes,"Mobile, Text books",no,4-6 hrs,Medium,Medium
REG00088,Female,6.1,76.6,71.41,68.15,66.29,65.04,63.49,60.7,59.03,53.96,63.51,0,yes,yes,Laptops,no,>8 hrs,Medium,Medium
REG00089,Female,6.2,81.9,76.07,77.42,75.43,77,75.19,77.39,76.27,74.98,76.22,0,yes,yes,"Laptops, Mobile",no,4-6 hrs,Low,Medium
REG00090,Male,1.7,80.1,57.5,63.72,66.67,66.32,69.79,70.38,72.18,74.82,67.67,0,no,yes,"Laptops, Text books",no,4-6 hrs,High,High
REG00091,Male,2.2,85.9,71.8,69.77,70.38,63.97,64.34,60.1,62.69,58.48,65.19,3,yes,no,"Laptops, Text books",yes,6-8 hrs,Medium,High
REG00092,Female,0.5,72.6,70.65,77.95,79.28,80.6,84.34,84.54,86.53,90.75,81.83,2,yes,yes,"Mobile, Text books",yes,6-8 hrs,High,High
REG00093,Female,2.9,81.8,58.38,59.87,61.57,63.42,61.75,64.99,64.48,65.05,62.44,3,yes,yes,"Laptops, Text books",no,6-8 hrs,Medium,Low
REG00094,Female,6.4,85.2,79.44,79.12,84.38,85.69,89.6,89.13,87.4,89.63,85.55,0,yes,no,"Laptops, Mobile",yes,2-4 hrs,Low,High
REG00095,Female,5.5,82.3,58.49,61.94,61.57,62.04,65.18,66.87,68.96,70.73,64.47,6,yes,yes,Mobile,no,2-4 hrs,High,Low
REG00096,Female,4.1,92.8,56.59,54.63,56.04,58.59,57.39,58.37,56.12,56.79,56.82,5,yes,no,"Laptops, Text books",no,6-8 hrs,Low,Low
REG00097,Female,4.5,88.2,83.48,79.9,80.79,80.28,79.21,78.22,74.16,74.91,78.87,1,yes,yes,"Laptops, Mobile, Text books",yes,>8 hrs,High,Low
REG00098,Male,3.1,81.9,52.99,57.67,59.93,59.19,62.22,62.75,65.39,69.02,61.14,2,yes,yes,"Mobile, Text books",no,4-6 hrs,High,Medium
REG00099,Male,4.9,83.7,80.15,72.18,74.56,69.7,66.83,69.28,64.81,62.74,70.03,1,yes,no,"Mobile, Text books",no,6-8 hrs,Medium,Medium
REG00100,Male,6,84.4,52.08,47,55.07,46.49,46.87,40.32,42.79,42.51,46.64,5,yes,yes,"Laptops, Text books",yes,4-6 hrs,High,High
REG00101,Male,1.3,85.2,49.03,54.71,59.06,59.38,60.75,63.39,67.98,66.92,60.15,4,yes,no,Mobile,no,2-4 hrs,High,Medium
REG00102,Female,5.1,67.4,70.08,73.58,78.27,70.73,73.23,77.29,75.61,72.38,73.9,3,yes,yes,Mobile,yes,2-4 hrs,Medium,High
REG00103,Male,6.4,79.6,65.29,65.29,67.04,65.71,70.08,64.77,66.43,68.27,66.61,2,no,yes,"Laptops, Text books",yes,4-6 hrs,High,High
REG00104,Female,3.7,70.1,77.01,76.12,75.85,77.69,78.38,76.87,77.7,77.05,77.08,0,yes,no,"Laptops, Mobile, Text books",no,6-8 hrs,Low,Medium
REG00105,Female,5.9,92.2,52.93,56.99,56.69,57.71,57.52,63.44,63.39,67.48,59.52,5,yes,no,"Laptops, Text books",no,4-6 hrs,High,High
REG00106,Male,10,81.5,76.54,71.76,68.51,69.16,64.22,65.5,60.04,59.79,66.94,5,yes,yes,Text books,yes,4-6 hrs,Medium,Medium
REG00107,Male,4.3,80.5,51.03,49.74,55.25,49.42,60.28,58.45,60.75,67.4,56.54,8,no,yes,Text books,no,>8 hrs,Medium,High
REG00108,Female,5.3,89.2,79.14,78.26,76.86,76.92,75.83,74.62,78.91,79.06,77.45,3,yes,yes,"Laptops, Text books",no,6-8 hrs,Medium,High
REG00109,Male,3,85.4,76.6,74.38,74.94,72.01,74.34,73.19,71.43,70.81,73.46,1,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG00110,Male,4.9,73,72.11,72.36,69.09,70.07,68.49,70.05,71.84,70.74,70.59,4,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,High,Medium
REG00111,Male,5.4,81.4,58.28,61.63,58.46,60.99,61.91,60.57,57.9,57.99,59.72,4,yes,yes,Mobile,yes,>8 hrs,Medium,Medium
REG00112,Male,4.9,79.3,63.13,67.51,64.03,70.46,70.11,69.35,71.76,76.05,69.05,1,yes,yes,"Mobile, Text books",no,4-6 hrs,Low,Medium
REG00113,Female,2.5,68,52.78,50.76,50.34,49.17,48.01,47.44,44.5,43.47,48.31,5,yes,yes,Laptops,no,6-8 hrs,Low,Medium
REG00114,Female,4.9,76.5,74.77,77.45,75.42,75.32,73.77,73.1,74.76,72.52,74.64,3,yes,yes,Mobile,no,2-4 hrs,Medium,Medium
REG00115,Female,7.4,80.5,53.91,56.72,56.91,55.45,54.88,57.99,56.79,53.52,55.77,7,yes,yes,Text books,no,6-8 hrs,Medium,Medium
REG00116,Female,5.4,81.1,56.66,61.57,63.81,66.12,68.33,70.53,67.43,74.29,66.09,4,yes,no,"Laptops, Text books",yes,>8 hrs,Medium,Low
REG00117,Female,6.4,70.1,61.28,60.7,61.71,65.97,67.37,66.05,67.97,70.79,65.23,2,yes,yes,Text books,yes,2-4 hrs,Medium,High
REG00118,Male,4,91.2,58.76,53.58,58.25,54.03,57.39,54.22,58.55,61.93,57.09,1,yes,yes,Mobile,no,4-6 hrs,Medium,Low
REG00119,Female,6,81.2,51.49,49.22,48.66,46.78,46.64,40.8,45.62,35.72,45.62,3,yes,no,Mobile,yes,4-6 hrs,Medium,Medium
REG00120,Female,5.1,82.3,54.86,54.93,53.55,53.19,54.57,54.2,53.15,50.55,53.62,3,yes,no,"Laptops, Mobile",yes,4-6 hrs,Medium,Medium
REG00121,Female,2.6,85.2,56.32,50.97,55.7,55.2,58.07,55.87,56.49,54.99,55.45,8,yes,yes,Laptops,no,4-6 hrs,Medium,Medium
REG00122,Female,5.1,75.7,80.74,81.4,78.05,74.23,74.26,76.5,74.54,74.69,76.8,2,yes,no,Text books,no,4-6 hrs,High,Low
REG00123,Male,2.5,85.7,78.51,77.11,76.1,75.19,70.69,65.27,69.21,61.65,71.72,2,no,yes,Mobile,no,6-8 hrs,Low,High
REG00124,Male,3.2,79.1,53.08,55.74,51.49,64.95,63.86,63.23,64.51,67.77,60.58,6,no,yes,"Mobile, Text books",no,2-4 hrs,High,High
REG00125,Male,4.9,74.8,63.3,58.9,61.39,50.11,52.38,50.93,48.02,45.24,53.78,6,no,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Low
REG00126,Male,5.1,86.6,69.13,69.89,68.07,71.48,68.08,64.96,68.09,66.94,68.33,3,no,no,"Laptops, Text books",yes,6-8 hrs,Medium,Low
REG00127,Female,2.1,93.9,75.22,71.77,73.25,72.19,67.66,68.89,62.64,58.93,68.82,6,yes,no,"Laptops, Mobile, Text books",no,6-8 hrs,High,Low
REG00128,Female,6.6,87.8,63.72,67.08,67.28,68.42,72.42,73.33,78.86,79.96,71.38,1,yes,yes,"Laptops, Mobile",yes,>8 hrs,Medium,Low
REG00129,Male,5.6,89.4,72.67,75.94,76.38,76.71,81.22,83.15,83.38,83,79.06,3,yes,yes,Mobile,yes,6-8 hrs,Low,Medium
REG00130,Female,3.1,77.8,69.29,66.48,69,69.3,68.15,70.76,65.65,66.44,68.13,1,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG00131,Male,1.4,69.2,79.27,79.58,77.9,83.36,82.63,83.79,88.86,91.2,83.32,2,yes,no,Mobile,yes,2-4 hrs,High,Medium
REG00132,Male,4.2,93.9,78.23,80.76,82.97,84.3,86.51,88.11,92.63,93.3,85.85,4,yes,no,Mobile,no,4-6 hrs,Medium,Medium
REG00133,Male,3.6,98.4,70.67,69.63,68.72,68.41,65.07,60.54,60.94,57.75,65.22,5,yes,yes,Laptops,yes,>8 hrs,Medium,Medium
REG00134,Male,4.7,94.3,75.61,73.92,76.15,71.12,71.65,71.96,75.05,75.8,73.91,4,yes,yes,"Laptops, Mobile",yes,4-6 hrs,Medium,Medium
REG00135,Female,3.8,79.3,61.09,61.95,64,66.11,66.53,72.57,74.12,76.25,67.83,9,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,High
REG00136,Male,0.5,72.8,66.87,66.89,64.04,58.22,57.66,56.11,54.25,53.88,59.74,4,yes,yes,Laptops,no,6-8 hrs,High,Low
REG00137,Female,3.7,73.5,75.77,76.07,66.75,70.54,69.95,65.82,63.29,62.65,68.85,2,yes,no,"Mobile, Text books",yes,4-6 hrs,Low,Low
REG00138,Female,3.9,68.5,69.66,69.74,65.8,65.38,68.31,71.89,71.71,69.44,68.99,4,yes,no,Mobile,yes,6-8 hrs,Medium,Medium
REG00139,Male,5.8,81.1,71.93,74.42,77.46,75.59,82.97,79.54,85.36,85.98,79.16,1,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG00140,Other,3.1,94.8,57.68,63.22,62.06,60.29,60.01,56.7,58.27,60.4,59.83,2,yes,yes,"Laptops, Mobile, Text books",yes,<2 hrs,Medium,High
REG00141,Other,7.9,80.9,77.64,74.94,70.66,67.8,69.54,71.13,66.22,66.19,70.52,2,yes,yes,"Laptops, Mobile",no,4-6 hrs,High,Low
REG00142,Male,0.7,84.4,66.04,66.34,66.44,63.79,67.13,67.59,63.11,60.82,65.16,7,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG00143,Female,7.1,93,56.6,55.41,57.85,56.64,58.75,55.87,55.79,53.16,56.26,6,yes,no,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,Low
REG00144,Male,4.1,78.8,53.68,53.43,54.59,57.54,58.7,60.37,61.01,66.38,58.21,5,yes,no,Text books,no,4-6 hrs,Medium,Medium
REG00145,Male,6.2,98.3,76.24,74.66,78.83,77.4,77.66,79.58,75.98,78.9,77.41,0,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Medium
REG00146,Male,4.7,97.9,60.35,68.14,67.39,69.32,67.66,73.77,77.36,79.35,70.42,1,yes,no,Laptops,no,6-8 hrs,Medium,Low
REG00147,Female,6.8,81,76.81,77.97,77.76,84.78,86.03,83.8,88.65,92.28,83.51,4,yes,no,Text books,no,4-6 hrs,Medium,High
REG00148,Female,3.7,77.4,58.93,60.31,57.47,60.03,60.43,58.04,58.78,57.45,58.93,4,yes,yes,Mobile,yes,4-6 hrs,Low,Medium
REG00149,Male,2.3,87.6,62.78,64.38,58.61,58.79,57.35,51.97,54.37,50.05,57.29,9,yes,no,"Laptops, Text books",yes,6-8 hrs,Low,Medium
REG00150,Male,7.3,79.2,72.46,70.69,68.36,68.69,64.64,64.19,59.79,59.05,65.98,4,yes,yes,Mobile,no,6-8 hrs,Medium,Medium
REG00151,Female,4.3,72.7,70.27,69.97,73.45,73.92,75.21,78.52,74.82,76.32,74.06,2,yes,yes,"Mobile, Text books",no,4-6 hrs,Low,High
REG00152,Male,4.9,92.2,49.85,48.91,48.07,49.87,44.44,45.55,40.68,37.46,45.6,5,yes,no,Mobile,yes,4-6 hrs,Medium,Medium
REG00153,Male,7,91.7,75.2,78.64,78.24,79.15,77.73,76.54,74.92,74.53,76.87,2,yes,yes,Text books,no,4-6 hrs,High,Low
REG00154,Female,2.4,83.2,70.51,70.68,68.71,68.29,62.92,60.68,57.58,58.08,64.68,1,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,High
REG00155,Other,5.7,71.9,70.01,68.87,73.41,75.52,72.54,78.59,79.16,83.17,75.16,4,yes,no,Mobile,yes,6-8 hrs,Low,High
REG00156,Male,3.3,72.2,59.8,58.69,64.86,67.34,64.93,68.32,70.73,74.46,66.14,4,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG00157,Female,4.2,82.9,59.64,60.95,57.69,54.17,52.73,50.64,50.36,50.16,54.54,4,yes,no,Mobile,yes,>8 hrs,Medium,Medium
REG00158,Female,4.6,78,65.04,62.73,58.31,59.03,56.18,50.73,50.36,52.09,56.81,4,yes,no,Text books,yes,6-8 hrs,High,Low
REG00159,Male,1.5,79.3,65,67.82,62.97,59.99,60.83,52.76,53.22,56.6,59.9,6,yes,yes,"Laptops, Text books",yes,4-6 hrs,Medium,Medium
REG00160,Female,2.9,90.2,55.09,54.16,53.53,56.21,57.95,58.36,54.8,54.42,55.56,9,yes,yes,Mobile,yes,4-6 hrs,High,High
REG00161,Male,7.2,87.9,45.47,52.71,55.36,51.43,51.23,52.86,56.25,51.08,52.05,8,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Low,Low
REG00162,Female,6.3,93,68.46,67.3,63.05,57.96,60.77,57,55.01,53.87,60.43,4,yes,no,Mobile,yes,>8 hrs,High,Low
